timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
741,43,5,1,37
1984,45,6,1,38
3222,46,6,2,38
4508,47,7,2,38
5769,47,7,2,38
7007,47,7,2,38
8267,49,8,3,38
9508,49,8,3,38
10751,49,8,3,38
11999,49,8,3,38
13256,50,9,3,38
14499,50,9,3,38
15745,49,8,3,38
16990,49,8,3,38
18243,49,8,3,38
19489,49,8,3,38
20735,49,8,3,38
21984,49,8,3,38
23247,50,9,3,38
24497,50,9,3,38
25744,50,9,3,38
26990,50,9,3,38
28264,49,8,3,38
29515,50,9,3,38
30761,49,8,3,38
32010,49,8,3,38
33258,50,9,3,38
34509,49,8,3,38
35757,49,8,3,38
37006,49,8,3,38
38258,49,8,3,38
39506,49,8,3,38
40757,49,8,3,38
42007,49,8,3,38
43255,49,8,3,38
44503,49,8,3,38
45755,49,8,3,38
47008,50,9,3,38
48261,49,8,3,38
49515,49,8,3,38
50765,49,8,3,38
52030,50,9,3,38
53279,50,9,3,38
54526,49,8,3,38
55775,50,9,3,38
57022,50,9,3,38
58278,49,8,3,38
59526,50,9,3,38
60774,49,8,3,38
62024,49,8,3,38
63274,49,8,3,38
64530,49,8,3,38
65777,49,8,3,38
67025,49,8,3,38
68274,49,8,3,38
69522,49,8,3,38
70772,50,9,3,38
72020,49,8,3,38
73269,49,8,3,38
74520,50,9,3,38
75768,49,8,3,38
77016,49,8,3,38
78266,49,8,3,38
79514,49,8,3,38
80764,49,8,3,38
82014,49,8,3,38
83262,49,8,3,38
84513,49,8,3,38
85763,49,8,3,38
87011,49,8,3,38
88283,49,8,3,38
89535,49,8,3,38
90783,49,8,3,38
92031,49,8,3,38
93289,50,9,3,38
94546,51,10,3,38
95805,50,9,3,38
97065,50,9,3,38
98324,51,10,3,38
99582,50,9,3,38
100840,50,9,3,38
102103,51,10,3,38
103367,50,9,3,38
104628,50,9,3,38
105886,50,9,3,38
107145,50,9,3,38
108403,50,9,3,38
109660,49,8,3,38
110917,50,9,3,38
112176,50,9,3,38
113439,50,9,3,38
114701,51,10,3,38
115960,50,9,3,38
117218,50,9,3,38
118482,51,10,3,38
119740,50,9,3,38
120998,50,9,3,38
122257,51,10,3,38
