timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
789,63,6,9,48
2053,73,6,10,57
3301,74,7,10,57
4585,75,7,11,57
5834,75,7,11,57
7082,77,8,12,57
8349,76,7,12,57
9599,78,7,13,58
10847,79,8,13,58
12099,80,8,14,58
13344,80,8,14,58
14590,81,8,15,58
15832,81,8,15,58
17078,82,8,16,58
18355,82,8,16,58
19605,82,8,17,57
20858,83,9,17,57
22106,83,9,17,57
23350,88,14,17,57
24602,81,11,13,57
25864,84,13,14,57
27126,80,9,14,57
28371,80,9,14,57
29619,82,9,15,58
30863,82,9,15,58
32111,83,9,16,58
33360,83,9,16,58
34633,85,10,17,58
35914,83,9,17,57
37201,84,10,17,57
38450,84,10,17,57
39699,85,11,17,57
40960,80,10,13,57
42219,81,10,14,57
43469,81,10,14,57
44725,82,10,15,57
45993,80,8,15,57
47237,81,9,15,57
48488,82,9,16,57
49738,82,9,16,57
50995,84,9,17,58
52250,83,9,17,57
53502,83,9,17,57
54753,83,9,17,57
56014,83,9,17,57
57282,80,10,13,57
58529,81,10,14,57
59788,80,9,14,57
61038,81,9,15,57
62293,80,8,15,57
63550,81,9,15,57
64804,82,9,16,57
66053,82,9,16,57
67305,82,8,17,57
68558,83,9,17,57
69810,83,9,17,57
71060,84,10,17,57
72310,83,9,17,57
73566,81,10,14,57
74818,81,10,14,57
76069,81,10,14,57
77323,82,10,15,57
78575,82,10,15,57
79824,83,10,16,57
81077,83,10,16,57
82334,84,10,17,57
83587,84,10,17,57
84841,84,10,17,57
86099,85,11,17,57
87389,85,11,17,57
88644,82,11,14,57
89895,82,11,14,57
91157,83,12,14,57
92412,83,11,15,57
93667,84,12,15,57
94922,84,11,16,57
96210,84,11,16,57
97476,81,11,16,54
98736,81,11,17,53
99989,81,11,17,53
101244,81,11,17,53
102502,81,11,17,53
103759,79,11,14,54
105011,79,11,14,54
106265,82,13,15,54
107526,81,12,15,54
108786,82,12,16,54
110042,82,12,16,54
111309,82,12,16,54
112569,82,12,17,53
113827,82,12,17,53
115083,83,13,17,53
116348,82,12,17,53
117612,79,11,14,54
118870,79,11,14,54
120127,81,12,15,54
121381,79,10,15,54
122658,83,13,16,54
