timestamp,totalCpuUsage,appUsage,core0_enabled,core1_enabled,core2_enabled,core3_enabled,core4_enabled,core5_enabled,core6_enabled,core7_enabled,core0,core1,core2,core3,core4,core5,core6,core7
704,11.40794,0.0,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
904,25.0,0.0,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
1104,1.49385,0.0,true,true,true,true,false,false,false,false,1275400.0,1275400.0,1257619.0,1257619.0,0.0,0.0,0.0,0.0
1304,15.85494,0.0,true,true,true,true,false,false,false,false,1456900.0,1456900.0,1486105.2,1486105.2,0.0,0.0,0.0,0.0
1504,28.125,0.0,true,true,true,true,false,false,false,false,947700.0,947700.0,947700.0,947700.0,0.0,0.0,0.0,0.0
1704,34.01586,0.0,true,true,true,true,false,false,false,true,1405083.4,1405083.4,1405083.4,1405083.4,0.0,0.0,0.0,1415142.9
1905,29.21797,18.97895,true,true,true,true,true,true,true,true,1586000.0,1586000.0,1586000.0,1586000.0,1560000.0,1560000.0,1560000.0,1560000.0
2105,46.52904,14.64968,true,true,true,true,true,true,true,true,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0
2305,0.0,25.03054,true,true,true,true,true,true,true,true,1528800.0,1528800.0,1528800.0,1528800.0,1586000.0,1586000.0,1586000.0,1586000.0
2505,50.95541,17.04382,true,true,true,true,true,true,true,true,1566190.5,1566190.5,1566190.5,1566190.5,1581047.6,1581047.6,1581047.6,1581047.6
2706,22.3541,12.85754,true,true,true,true,true,true,true,true,1586000.0,1586000.0,1586000.0,1586000.0,1540782.6,1540782.6,1540782.6,1540782.6
2906,0.57536,12.72708,true,true,true,true,true,true,true,true,1586000.0,1586000.0,1586000.0,1586000.0,1579882.4,1579882.4,1579882.4,1579882.4
3106,30.81294,15.70828,true,true,true,true,true,true,true,true,1570400.0,1570400.0,1571142.9,1570400.0,1534000.0,1534000.0,1534000.0,1534000.0
3306,33.75,17.5,true,true,true,true,true,true,true,true,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0,1586000.0
3506,23.26603,0.00554,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
3706,23.125,17.5,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
3906,18.49315,18.98734,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
4106,35.18518,18.49315,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
4307,27.21519,18.51852,true,true,true,true,false,false,false,false,1586000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,0.0,0.0
