timestamp,totalUsage,nativeUsage,dalvikUsage,otherUsage
844,79,6,17,56
2095,83,7,18,58
3340,153,9,38,106
4601,153,9,38,106
5851,153,9,38,106
7102,152,9,37,106
8348,153,9,38,106
9599,155,9,39,107
10866,157,10,40,107
12127,157,10,40,107
13375,159,10,42,107
14628,160,10,43,107
15890,160,10,43,107
17138,162,10,44,108
18392,163,10,45,108
19643,164,10,46,108
20896,165,10,47,108
22151,166,10,48,108
23398,165,10,48,107
24645,165,10,48,107
25896,165,10,48,107
27143,165,10,48,107
28388,156,10,38,108
29633,156,10,39,107
30881,158,10,40,108
32126,158,10,40,108
33371,159,10,41,108
34617,160,10,42,108
35863,161,10,43,108
37108,162,10,44,108
38355,163,10,44,109
39599,164,10,45,109
40848,165,10,46,109
42096,166,10,47,109
43345,168,10,48,110
44593,167,10,49,108
45841,167,10,49,108
47089,168,11,49,108
48343,169,11,49,109
49592,159,11,39,109
50839,159,11,39,109
52088,160,11,40,109
53338,161,11,41,109
54587,162,11,42,109
55838,163,11,43,109
57086,165,11,44,110
58336,165,11,45,109
59587,165,11,45,109
60837,167,11,46,110
62087,168,11,47,110
63342,169,11,48,110
64592,169,11,48,110
65842,168,11,49,108
67093,168,11,49,108
68343,168,11,49,108
69593,168,11,49,108
70842,158,11,38,109
72093,159,11,39,109
73341,160,11,40,109
74589,162,11,41,110
75841,163,11,41,111
77093,164,11,42,111
78342,165,11,43,111
79593,167,11,45,111
80846,168,11,46,111
82099,168,11,46,111
83352,169,11,47,111
84604,171,11,48,112
85856,170,11,49,110
87109,170,11,49,110
88361,170,11,49,110
89619,170,11,49,110
90874,163,12,40,111
92131,164,12,41,111
93386,165,12,42,111
94645,166,12,43,111
95899,167,12,44,111
97154,169,12,45,112
98408,168,12,45,111
99665,169,12,46,111
100921,171,12,47,112
102179,172,12,48,112
103437,171,12,49,110
104701,171,12,49,110
105957,171,12,49,110
107214,171,12,49,110
108474,164,12,41,111
109730,164,12,41,111
110988,165,12,42,111
112249,166,12,43,111
113516,167,12,44,111
114777,168,12,45,111
116038,169,12,46,111
117308,170,12,47,111
118567,172,12,48,112
119828,172,12,49,111
121088,171,12,49,110
122350,172,12,49,111
